id,segment
92,去觀看一些思覺失調症的影片 真的跟我的狀況好像
93,"我曾經2013年確診過泛性焦慮症 最近一直有想輕生的意念"
94,拿著一旁的刀子劃著自己的手
95,希望 專門看恐慌焦慮跟憂鬱、壓力創傷症候群
96,我是一個慣性OD的患者
97,"看了版上的精神疾病版跟憂鬱症版還有暴食症版 如果以上這些症狀都有"
98,最近感覺應該是有憂鬱症，
99,所以最近精神很糟，甚至有點憂鬱症兆
100,請推薦台北看失眠憂鬱症躁鬱症的診所
101,目前的狀況是可能有輕鬱症
102,現在心裡也可以接受憂鬱症的可能了
103,憂鬱症真的算是心理的癌症吧..
104,終於下定決心離家慢性自殺
105,因為有滿多憂鬱症的症狀 所以懷疑自己憂鬱症很久了
106,"作出自我傷害.....的行為 以上的症狀...完全跟我相符合"
107,我認為自己應該是第二型躁鬱症
108,"我在學校、公司會很焦慮 提不起勁學習 容易分心 回到家就有嚴重的拖延病 無法積極 注意力也不集中 沒有像在公司一樣焦慮 但會煩惱 心情悶"
109,我在網路上看到各種跟躁鬱症相關的資料，我幾乎百分之九十五都吻合
110,後來好久沒有發生的咬牙齒啊、失眠、崩潰大哭、想撞牆想打自己的狀態就接踵而來。
111,從以前開始或多或少會有點自殘的行為
112,"看著網路上的憂鬱症量表 還是跟一如以往一樣的最高分"
113,"我的心情跟著週遭的小事起起伏伏 拿最近的來說好了 過年期間陰雨綿綿又寒冷 我有呼吸道過敏又氣喘 整個心情就很鬱悶"
114,"我覺得吃藥是不是在讓自己延續這根本不想再活的人生，然後因為就診紀錄活了也一輩子不能保險，我沒小孩沒家庭又沒錢活到老不是更累嗎？"
115,不知道以上的情況是否算是恐懼症？
116,我就知道我有幽閉恐懼症..
117,當時的我覺得自己可能有精神上的疾病
118,之前在國外時有一陣子也不時出現自殺或想撞牆的念頭，
119,"也做了好幾個憂鬱症與躁鬱症的測驗 看到每個結果都幾乎是最高分"
120,自己有些症況都符合社交焦慮症
121,最近瞭解到自己可能有強迫症後
122,剛剛查了一下舊文發現還蠻類似ADHD的..
123,症狀大約是憂鬱 自殘 情緒不穩
124,我google相關症狀後覺得自己已經是焦慮症
125,我才了解到什麼叫社交恐懼症這個詞
126,第一次看到ADHD的介紹，覺得自己應該是。
127,"會感覺胸口有什麼堵住了，然後在房間裡爆哭，也會輕輕抓捏自己來試圖分擔情緒。"
128,加上自己觀察我覺滴我憂鬱正挺嚴重滴
129,我覺得好像憂鬱症該有的情況我都不少
130,想到醫院診斷自己是否有憂鬱症的念頭......
131,心理的焦慮遠超越了小孩到來的喜悅
132,患有輕度憂鬱症 輕度還重度我個人不知道
133,我也會嚴重焦慮無法睡眠
134,最近我又精神狀況不太好
135,我這樣算是恐慌症嗎?
136,焦慮症似乎與我情況最符合
137,"我不知道我這樣算不算有病，剛剛去做憂鬱症自我檢測分數是37"
138,現在心裡也可以接受憂鬱症的可能了
139,我覺得我已經得了憂鬱症了
140,基隆哪間醫院或診所有在醫治心理病的？
141,最近才覺得像是BPD傾向
142,心中還會有理性的聲音問自己是不是憂鬱症了
143,經常有自殺想法
144,最近瞭解到自己可能有強迫症後
145,我的強迫症現象自己感覺有越來越嚴重
146,我的憂鬱症好像很嚴重
147,你連我有憂鬱症都不知道
148,我覺得我好像有強迫症
149,我就是不知足 我就是爛草莓 才會得憂鬱症
150,很容易哭、對什麼事都沒有興趣、每天很沒精神、覺得身體很累
151,我想治好我的厭食症
152,我覺得我有憂鬱症
153,我知道如果要治療這種恐懼症好像要去精神科
154,那有憂鬱症的我如果本來就很笨身體也不好 豈不是只會更悲慘?
155,我就是得了憂鬱症
156,仔細想想憂鬱症也不是什麼太嚴重的病
157,我朋友說我是躁鬱症  好像真的是他說的那樣
158,我在猜我會不會是憂鬱症
159,每天真的都憂鬱到好想死
160,才剛走出巷口又覺得恐慌症快發作了
161,感覺我好像過動症
162,痛苦到頂點的時候還是忍不住拿刀劃開皮膚
163,有沒有人可以推薦我台中地區不錯的心理醫生可以醫好我的焦慮症?
164,我覺得我有憂鬱症欸
165,我快受不了我的憂鬱症了
166,憂鬱症卻中度轉成重度並伴隨妄想症出現
167,昨天到今天找了網路上好幾個憂鬱症測量表來做 都是中度，有兩個測量結果還是重度
168,想問問其他人我現在到底是憂鬱情緒， 還是憂鬱症
169,我想拿憂鬱症的藥
170,躁鬱痛苦死了
171,同時我發現自己疑似有社交恐懼症
172,尤其對有憂鬱 症的我們來說，
173,前幾天上網找憂鬱量表(？ 填出來結果發現竟然意料之外的高？
174,有時候覺得自己是不是只是想被判定是憂鬱症這樣好像就可以把事情怪在這上面了
175,不然我真的要od了
176,我活得好痛苦。
177,我因為從小就有的強迫症及焦慮症
178,是季節性憂鬱期又出現了吧
179,躁鬱症的情緒擺盪真的很痛苦
180,對方要是知道我有躁鬱症
n_12416,今天的崩潰是因為心理治療還是真的太冷了呢？
n_13247,最好的朋友最近被診斷憂鬱症
n_183,發現是中度抑鬱症
n_13140,本身家人有憂鬱的傾向 如同大多數的病友一樣也有嚴重失眠的問題
n_12929,開使吃新的抗鬱劑煩x閃
n_12822,創傷為主，憂鬱、諮商的主題為輔，都是正規醫療觀點
n_12887,我也長期憂鬱.覺得自己凡事都好慘.活的很痛苦
n_12747,找到適合自己的心理專業人士，也提供專業心理健康資訊及資源
n_12641,我吃藥吃到乾眼症 有抗憂鬱的 也有幾顆bzd 最近增加了牟靜
n_13138,建議長期患有憂鬱、神經衰弱或是患有精神病的病人應該要服用B12
n_12689,較早發病的躁鬱症患者一開始多以憂鬱期為主，並且通常會經歷多次憂鬱期之後才會有輕度狂躁
n_12781,特別是精神分裂症，這是精神科的大宗客戶，
n_12337,我承認我已焦慮 失去重心
n_12695,被醫生診斷為第二型躁鬱
n_176,憂鬱就不止 總以為事情告一段落 卻又再來一個回馬槍
n_12550,還成為大家的拖油瓶 也不知焦慮和敏感又發作 變的更自卑不敢與人互動
