id,segment,label
13,老實說我也不知道我到底是不是憂鬱症,1
15,尤其去年初曾經有一段時間達到重度憂鬱症,1
16,如果劃傷自己會不會好些,1
17,其實我覺得自己有強迫症,1
18,我知道我有輕微的強迫症,1
23,有點焦慮症的傾向,1
24,我應該是有精神病,1
26,不把頭髮扯到分岔後拔下來我不會善罷甘休,1
27,但最近幾乎天天都有自殺的念頭,1
28,這是憂鬱症前兆嗎?,1
30,甚至會有想自我了斷的念頭...,1
31,那好像還有一點強迫症的感覺,1
32,是所謂的恐懼症嗎,1
33,強迫症讓我很不舒服,1
35,之前有一陣子低潮期 被男友說有憂鬱症,1
37,請問這是躁鬱症還是精神分裂症的症狀嗎?,1
38,長期的情緒低落、失去動力、失眠、自殺意圖、排斥社交，每天晚上哭到凌晨才睡得著。,1
40,猜測在異地的我，似乎已患有被害妄想症,1
43,我生病了嗎??躁鬱症?精神分裂?還是...?,1
45,線上的測驗都顯示我有憂鬱症,1
47,我以前確診是人格疾病患者,1
48,然後醫生說只是憂鬱症,1
50,甚至我有好幾次傷害自己的念頭,1
52,自殘沒用也不想浪費血了,1
53,藥吃了一大堆 (也拿來od了無數次),1
54,但從面試前我就天天以淚洗面 頭痛 甚至有幻聽,1
55,有時候會懷疑這樣的自己有憂鬱症嗎,1
56,懷疑自己是不是患憂鬱症,1
57,所以不確定是不是憂鬱症,1
58,還是真的是我有強迫症甚至焦慮症,1
59,這是恐慌症嗎 我自己都覺得我病了,1
60,我擔心這是種強迫症,1
62,會是恐慌症嗎,1
63,這次也想把藥一次吞一堆,1
64,還是有廣泛焦慮症的可能呢？,1
65,我上網看資料 看到憂鬱症的症狀我都吻合,1
66,結果醫生跟我媽說 我是憂鬱症,1
68,也不確定自己是不是有精神上的疾病,1
69,只要旁人說話太大聲還是不何意 就會很生氣很生氣的想要掀桌子或打人,1
77,因我已長期的憂鬱症困擾許久，,1
78,或者...有推薦看PDST的身心門診也可以…,1
79,"覺得自己有一點暴食症的初期症狀，有一點憂鬱症初期症狀",1
80,一直一直被ED困擾著,1
81,我暴食但是不會催吐因為我討厭胃酸的味道，但是我會吃到很撐很想吐，,1
82,可是我的暴飲暴食  嘔吐已經無法克制了,1
83,厭食症…這是從來都沒有想過會發生在我身上的病狀，,1
84,"暴食發作的時候明明知道不能這樣吃還是控制不了，吃過六個便當，大量的麵包餅乾，常常是超商每一種麵包都買來吃掉，一千塊的零食亂買全部吃掉，然後吃瀉藥，拉到只剩水便我才滿意。",1
85,我對於自己的暴食症是非常小心守密的,1
86,我寧可吐掉剛剛吃過的東西，再繼續吃,1
87,在要敲下鍵盤分享自己從暴食症慢慢康復的這四年來點點滴滴,1
88,"看到食物我就會不斷的吃...直到很想吐...等不這麼想吐之後又會繼續吃",1
89,兩年前我也吞藥自殺過,1
90,最近一直想著死的事情，,1
91,憂鬱症困擾我好幾年了,1
92,去觀看一些思覺失調症的影片 真的跟我的狀況好像,1
93,"我曾經2013年確診過泛性焦慮症 最近一直有想輕生的意念",1
94,拿著一旁的刀子劃著自己的手,1
95,希望 專門看恐慌焦慮跟憂鬱、壓力創傷症候群,1
96,我是一個慣性OD的患者,1
97,"看了版上的精神疾病版跟憂鬱症版還有暴食症版 如果以上這些症狀都有",1
98,最近感覺應該是有憂鬱症，,1
99,所以最近精神很糟，甚至有點憂鬱症兆,1
100,請推薦台北看失眠憂鬱症躁鬱症的診所,1
101,目前的狀況是可能有輕鬱症,1
102,現在心裡也可以接受憂鬱症的可能了,1
103,憂鬱症真的算是心理的癌症吧..,1
104,終於下定決心離家慢性自殺,1
105,因為有滿多憂鬱症的症狀 所以懷疑自己憂鬱症很久了,1
106,"作出自我傷害.....的行為 以上的症狀...完全跟我相符合",1
107,我認為自己應該是第二型躁鬱症,1
108,"我在學校、公司會很焦慮 提不起勁學習 容易分心 回到家就有嚴重的拖延病 無法積極 注意力也不集中 沒有像在公司一樣焦慮 但會煩惱 心情悶",1
109,我在網路上看到各種跟躁鬱症相關的資料，我幾乎百分之九十五都吻合,1
110,後來好久沒有發生的咬牙齒啊、失眠、崩潰大哭、想撞牆想打自己的狀態就接踵而來。,1
111,從以前開始或多或少會有點自殘的行為,1
112,"看著網路上的憂鬱症量表 還是跟一如以往一樣的最高分",1
113,"我的心情跟著週遭的小事起起伏伏 拿最近的來說好了 過年期間陰雨綿綿又寒冷 我有呼吸道過敏又氣喘 整個心情就很鬱悶",1
