id,segment,label
0,老實說我也不知道我到底是不是憂鬱症,1
1,尤其去年初曾經有一段時間達到重度憂鬱症,1
2,如果劃傷自己會不會好些,1
3,其實我覺得自己有強迫症,1
4,我知道我有輕微的強迫症,1
5,有點焦慮症的傾向,1
6,我應該是有精神病,1
7,不把頭髮扯到分岔後拔下來我不會善罷甘休,1
8,但最近幾乎天天都有自殺的念頭,1
9,這是憂鬱症前兆嗎?,1
10,甚至會有想自我了斷的念頭...,1
11,那好像還有一點強迫症的感覺,1
12,是所謂的恐懼症嗎,1
13,強迫症讓我很不舒服,1
14,之前有一陣子低潮期 被男友說有憂鬱症,1
15,請問這是躁鬱症還是精神分裂症的症狀嗎?,1
16,長期的情緒低落、失去動力、失眠、自殺意圖、排斥社交，每天晚上哭到凌晨才睡得著。,1
17,猜測在異地的我，似乎已患有被害妄想症,1
18,我生病了嗎??躁鬱症?精神分裂?還是...?,1
19,線上的測驗都顯示我有憂鬱症,1
20,我以前確診是人格疾病患者,1
21,然後醫生說只是憂鬱症,1
22,甚至我有好幾次傷害自己的念頭,1
23,自殘沒用也不想浪費血了,1
25,但從面試前我就天天以淚洗面 頭痛 甚至有幻聽,1
26,有時候會懷疑這樣的自己有憂鬱症嗎,1
27,懷疑自己是不是患憂鬱症,1
28,所以不確定是不是憂鬱症,1
29,還是真的是我有強迫症甚至焦慮症,1
30,這是恐慌症嗎 我自己都覺得我病了,1
31,我擔心這是種強迫症,1
32,會是恐慌症嗎,1
34,還是有廣泛焦慮症的可能呢？,1
35,我上網看資料 看到憂鬱症的症狀我都吻合,1
36,結果醫生跟我媽說 我是憂鬱症,1
37,也不確定自己是不是有精神上的疾病,1
38,只要旁人說話太大聲還是不何意 就會很生氣很生氣的想要掀桌子或打人,1
39,因我已長期的憂鬱症困擾許久，,1
40,或者...有推薦看PDST的身心門診也可以…,1
41,覺得自己有一點暴食症的初期症狀，有一點憂鬱症初期症狀,1
43,我暴食但是不會催吐因為我討厭胃酸的味道，但是我會吃到很撐很想吐，,1
44,可是我的暴飲暴食  嘔吐已經無法克制了,1
45,厭食症…這是從來都沒有想過會發生在我身上的病狀，,1
46,暴食發作的時候明明知道不能這樣吃還是控制不了,1
47,我對於自己的暴食症是非常小心守密的,1
48,我寧可吐掉剛剛吃過的東西，再繼續吃,1
49,在要敲下鍵盤分享自己從暴食症慢慢康復的這四年來點點滴滴,1
50,看到食物我就會不斷的吃...直到很想吐... 等不這麼想吐之後又會繼續吃,1
51,兩年前我也吞藥自殺過,1
52,最近一直想著死的事情，,1
53,憂鬱症困擾我好幾年了,1
54,去觀看一些思覺失調症的影片 真的跟我的狀況好像,1
55,我曾經2013年確診過泛性焦慮症 最近一直有想輕生的意念,1
56,拿著一旁的刀子劃著自己的手,1
57,希望 專門看恐慌焦慮跟憂鬱、壓力創傷症候群,1
59,看了版上的精神疾病版跟憂鬱症版還有暴食症版 如果以上這些症狀都有,1
60,最近感覺應該是有憂鬱症，,1
61,所以最近精神很糟，甚至有點憂鬱症兆,1
62,請推薦台北看失眠憂鬱症躁鬱症的診所,1
63,目前的狀況是可能有輕鬱症,1
64,現在心裡也可以接受憂鬱症的可能了,1
65,憂鬱症真的算是心理的癌症吧..,1
66,終於下定決心離家慢性自殺,1
67,因為有滿多憂鬱症的症狀 所以懷疑自己憂鬱症很久了,1
68,"作出自我傷害.....的行為 以上的症狀...完全跟我相符合",1
69,我認為自己應該是第二型躁鬱症,1
70,"我在學校、公司會很焦慮 提不起勁學習 容易分心 回到家就有嚴重的拖延病 無法積極 注意力也不集中 沒有像在公司一樣焦慮 但會煩惱心情悶",1
71,我在網路上看到各種跟躁鬱症相關的資料，我幾乎百分之九十五都吻合,1
72,後來好久沒有發生的咬牙齒啊、失眠、崩潰大哭、想撞牆想打自己的狀態就接踵而來。,1
73,從以前開始或多或少會有點自殘的行為,1
74,"看著網路上的憂鬱症量表 還是跟一如以往一樣的最高分",1
75,"我的心情跟著週遭的小事起起伏伏 拿最近的來說好了 過年期間陰雨綿綿又寒冷 我有呼吸道過敏又氣喘 整個心情就很鬱悶",1
76,"我覺得吃藥是不是在讓自己延續這根本不想再活的人生，然後因為就診紀錄活了也一輩子不能保險，我沒小孩沒家庭又沒錢活到老不是更累嗎？",1
77,不知道以上的情況是否算是恐懼症？,1
78,我就知道我有幽閉恐懼症..,1
79,當時的我覺得自己可能有精神上的疾病,1
80,之前在國外時有一陣子也不時出現自殺或想撞牆的念頭，,1
81,"也做了好幾個憂鬱症與躁鬱症的測驗 看到每個結果都幾乎是最高分",1
82,自己有些症況都符合社交焦慮症,1
83,最近瞭解到自己可能有強迫症後,1
84,剛剛查了一下舊文發現還蠻類似ADHD的..,1
85,症狀大約是憂鬱 自殘 情緒不穩,1
86,我google相關症狀後覺得自己已經是焦慮症,1
87,我才了解到什麼叫社交恐懼症這個詞,1
88,第一次看到ADHD的介紹，覺得自己應該是。,1
89,"會感覺胸口有什麼堵住了，然後在房間裡爆哭，也會輕輕抓捏自己來試圖分擔情緒。",1
90,加上自己觀察我覺滴我憂鬱正挺嚴重滴,1
91,我覺得好像憂鬱症該有的情況我都不少,1
92,想到醫院診斷自己是否有憂鬱症的念頭......,1
93,心理的焦慮遠超越了小孩到來的喜悅,1
94,患有輕度憂鬱症 輕度還重度我個人不知道,1
95,我也會嚴重焦慮無法睡眠,1
96,最近我又精神狀況不太好,1
97,我這樣算是恐慌症嗎?,1
98,焦慮症似乎與我情況最符合,1
99,"我不知道我這樣算不算有病，剛剛去做憂鬱症自我檢測分數是37",1
100,現在心裡也可以接受憂鬱症的可能了,1
101,我覺得我已經得了憂鬱症了,1
102,基隆哪間醫院或診所有在醫治心理病的？,1
103,最近才覺得像是BPD傾向,1
104,心中還會有理性的聲音問自己是不是憂鬱症了,1
105,經常有自殺想法,1
106,最近瞭解到自己可能有強迫症後,1
107,我的強迫症現象自己感覺有越來越嚴重,1
108,我的憂鬱症好像很嚴重,1
109,你連我有憂鬱症都不知道,1
110,我覺得我好像有強迫症,1
111,我就是不知足 我就是爛草莓 才會得憂鬱症,1
112,很容易哭、對什麼事都沒有興趣、每天很沒精神、覺得身體很累,1
113,我想治好我的厭食症,1
114,我覺得我有憂鬱症,1
115,我知道如果要治療這種恐懼症好像要去精神科,1
116,那有憂鬱症的我如果本來就很笨身體也不好 豈不是只會更悲慘?,1
117,我就是得了憂鬱症,1
118,仔細想想憂鬱症也不是什麼太嚴重的病,1
119,我朋友說我是躁鬱症  好像真的是他說的那樣,1
120,我在猜我會不會是憂鬱症,1
121,每天真的都憂鬱到好想死,1
122,才剛走出巷口又覺得恐慌症快發作了,1
123,感覺我好像過動症,1
124,痛苦到頂點的時候還是忍不住拿刀劃開皮膚,1
125,有沒有人可以推薦我台中地區不錯的心理醫生可以醫好我的焦慮症?,1
126,我覺得我有憂鬱症欸,1
127,我快受不了我的憂鬱症了,1
128,憂鬱症卻中度轉成重度並伴隨妄想症出現,1
129,昨天到今天找了網路上好幾個憂鬱症測量表來做 都是中度，有兩個測量結果還是重度,1
130,想問問其他人我現在到底是憂鬱情緒， 還是憂鬱症,1
131,我想拿憂鬱症的藥,1
132,躁鬱痛苦死了,1
133,同時我發現自己疑似有社交恐懼症,1
134,尤其對有憂鬱 症的我們來說，,1
135,前幾天上網找憂鬱量表？ 填出來結果發現竟然意料之外的高？,1
136,有時候覺得自己是不是只是想被判定是憂鬱症這樣好像就可以把事情怪在這上面了,1
138,我活得好痛苦。,1
139,我因為從小就有的強迫症及焦慮症,1
140,是季節性憂鬱期又出現了吧,1
141,躁鬱症的情緒擺盪真的很痛苦,1
142,對方要是知道我有躁鬱症,1
143,我真的找不到活著的理由，沒有誰真的在意自己 ，治療師好像也這麼承認了 我好難過（憂鬱嗎？）,1
144,最好的朋友最近被診斷憂鬱症,1
145,開使吃新的抗鬱劑煩x閃,1
146,我也長期憂鬱,1
147,我感覺自己也不適合活在這個世界,1
148,可是我確實為了活下去才治療 到頭來還是不想活下去,1
149,覺得可能有憂鬱症或是相關的身心疾病,1
150,醒了就是焦慮狀態也睡不回去,1
151,被醫生診斷為第二型躁鬱,1
152,因為焦慮恐慌服用藥物有一段時間了,1
153,憂鬱就不止,1
154,卻憂鬱到極點,1
155,近日才發現姊姊有憂鬱症,1
156,下午固定會開始焦慮,1
157,我覺得他有可能也有憂鬱症,1
158,也知道自己在生理期前、生理期中都很容易焦慮、憂鬱、失眠,1
159,最近我又精神狀況不太好,1
160,在懷孕前就一直有服用安眠藥及抗憂鬱藥物,1
161,今天和老婆坦白了最近壓力很大想看心理醫生的念頭,1
162,但最近負面情緒居多,1
163,讓他的情緒似乎更差了，很常會一直說是不是沒救了之類的話,1
164,已經吃了好幾個星期的速悅 但感覺沒有甚麼效果,1
164,請問大家速悅如果有效 是怎樣的感覺 最近生活很無力,1
165,每天這樣苟活 害怕有一天必須決定 不要再這樣活下去,1
338,太陽那麼大 都沒想到狗在曬太陽？  如果我是,0
338,大概會想把他們埋在墾丁海邊沙堆中 只剩下一個頭出來那種,0
339,我們認識約三個月， 在一起快一個月 其實在一開始認識見面時,0
339,我並不抱著期待 後來他屢次邀約我出去,0
339,其實過程中， 我就開始害怕覺得他如果知道,0
339,我心理的狀況發生過的事情怎麼辦 我一直覺得自己配不上對方,0
339,也覺得自己不能擁有幸福 直到他說要不要在一起時，,0
339,我猶豫很久 但又不想放棄鼓起勇氣說出口的他,0
339,上週因為這個關係重啟了諮商 諮商師說沒有一個男生可以接受這樣的女生,0
339,在我一直執著自己不夠好時， 一直沒有呈現完整的自己，,0
339,只看見自己受的傷， 自己有過的 不好,0
339,即便不是我的錯 原生家庭的狀況， 讓我的心理變這樣,0
339,而這件事仍然沒有好， 我好怕他知道我這個面向,0
339,不敢跟他聯絡， 我仍不相信 害怕真愛是假的,0
339,每次只要我稍微心理正常， 媽媽又開始把我的話跟感受當耳邊風，,0
339,我們又要重回那個場景 彷彿要我死掉，,0
339,她才會當成一回事的這部分又凸顯了 我害怕男友看見這樣的我就不要我了,0
339,那我寧願不要再繼續 我很傷心難過的跟心理醫生說,0
339,為什麼好不容易遇見幸福 卻讓我的路仍然這麼坎坷,0
339,為什麼我的人生這麼哀傷 一直翻滾的問題都不會好,0
340,即使是普通的一天， 還是很難度過這個惡魔時段，,0
340,把能夠平靜的方法都試了還是感到痛苦 ，,0
340,非常不舒服的鈍感， 像是被人捏住了心臟，,0
340,動彈不得的痛。  夢變得令人難過了起來，,0
340,即使知道是不存在的， 依然覺得無法抑制的難過，,0
341,我變得非常容易忘記小事 卻忘不掉最想忘記的回憶,0
341,我忘了從前不依靠咖啡也能專心的自己 忘了不依賴安眠藥也能輕易入睡的從前,0
341,忘了自己曾經記憶力很好 那麼勇於立定目標和執行,0
341,忘了自己曾經天真自信 對人性相信 到什麼地方都很幸運,0
341,幾乎沒有重大挫折 我記得我擁有過那些美好,0
341,但我忘了擁有那些特質和生活的感覺 我忘了從前的自己，,0
341,也找不到從前的人 回憶變得非常遙遠 而記憶,0
342,擔心看過精神科被拒保嗎？ 先用這個方法確認看看,0
342,我之前建議三種方式判別： （1）調閱病歷，,0
342,看看醫師診斷為何。  （2）申請健康存摺，,0
342,自己上網查看病歷資料。  （3）直接詢問主治醫師。,0
342,今天在保險群組看到有保險公司說憂鬱症一律婉拒，,0
342,我整個心就涼了一半 保險是現代人必備的工具之一，,0
342,但就是很多險種沒辦法購買，  喪失了原本應該有的權益。,0
343,從前： 吃一些藥 說服自己能活下去 現在：,0
343,吃一些藥 祈禱自己能永遠死去 看了醫生去了急診總共打了六隻針,0
343,已經打到醫生說不能再打了 都沒有用 沒有用,0
343,我真的不知道能不能撐到醫生請假回來 醫生明明只有請假一個禮拜,0
343,對我來說這一個禮拜好漫長 我好累了 不知道一千多毫克的可致律能不能致死,0
344,跟風去買了世足賽運彩 兩張400看別人買什麼跟著買,0
344,結果共辜 一張1000想說應該都會進球吧,0
344,賺800 小賺400 老實說是被吳宗憲燒到,0
344,說太賺了一台賓士 但感覺這樣講不太負責任,0
344,難道他都沒有賠錢嗎？  而且對有錢人來說,0
344,一台賓士根本是小錢吧 輸掉也沒關係 一般人就認命上班下班,0
344,把日子過好吧 會想說早知道就投一萬 急救用的錢是不可以用來賭博的,0
344,身後有餘忘縮手 眼前無路可回頭 超喜歡紅樓夢的啊,0
345,害怕著一切從頭來過 不 好想一次就解決,0
345,同事說你好好準備這次 之後就不用再準備了,0
345,意思是考上了就輕鬆了 （輕鬆是關於不用再考試這點,0
345,今天跟前輩說都在準備身障特考 沒準備這個考試所以比較生疏,0
345,他完全沒回應 只有停頓一下然後繼續講別的事,0
345,不是所有人都對你的事情有興趣 今天給前輩看過報告之後,0
345,有比較知道怎麼改寫 還有3/10還沒完成,0
346,生活中沒有任何不順遂也好痛苦 所有的人事物都對我很友善我還是好痛苦,0
346,工作很順利 生活不被任何人所限制 即使我狀態再糟還是有人關心,0
346,還是有人會問， 妳還好嗎， 妳怎麼了,0
346,即使他們知道我說不出來， 不會回覆甚至不已讀,0
346,但是我就是過得好痛苦， 好怨恨我自己,0
346,怨恨自己為什麼不能心滿意足 怨恨自己為什麼不能至少以相同的愛回報他們,0
346,怨恨這麼久了還是一點也摸不透自己 這麼久了還是一點也沒辦法改善悲觀跟不自信,0
346,有那麼多可以讓生活變得更加美好的選擇,0
346,是我一個又一個的放棄 任自己虛度光陰到現在,0
346,然後又於事無補的陷入無限的自責以及痛苦裡,0
347,我有個朋友， 平常就是個很有心事的人,0
347,她失戀雖然已經一年多了， 這一年來也試著很多讓自己能快樂起來的事，,0
347,比如跟朋友出去 玩、 運動等等 表面看似陽光，,0
347,但仍然三不五時就會看到她貼一些心情很低落的文章，,0
347,彷彿未走出失戀，  我也曾經想試著了解，,0
347,但她卻都輕浮帶過 然而她在昨天貼了一篇文章，,0
347,本來以為她只是一如往常的在抒發心情，,0
347,才讓她藉由歌詞來提醒自己要樂觀， 不讓自己惡化,0
347,想請問大家她是不是真的可能有憂鬱症傾向，,0
347,又或者是我多慮了 如果是的話我又該如何幫她呢，,0
348,我盡力了 我受夠了 我全部放棄可以的吧,0
348,不期不待不受傷害 不抱希望就不會失望,0
348,與其被倒數計時折磨 我先跳下去就不用再憂思恐懼,0
349,想請問有住院過的板友， 有什麼該注意的？,0
349,住院自己需要帶什麼東西嗎？  第一次準備住院，,0
349,有點不知所措 有什麼物品不能帶嗎？ ,0
349,因為病情一直惡化， 今天回診跟醫生要求住院治療,0
350,頭痛， 怕跟之前一樣半夜跑起來吐只好吃普拿疼。,0
350,這樣我只剩六顆了， 最近有很多人跑去,0
350,屯， 連家人都跑去買， 他根本就很少頭痛吃藥的人。,0
350,上星期某處痛不得已半夜起來吃一 顆。,0
351,請清潔阿姨來打掃 一次五百 蠻乾淨的,0
351,不用自己買掃具 搬家時也不會累死 買一個清爽的心情,0
352,常常看貓版都覺得心裡害怕。  毛小孩壽命比人短,0
352,會先離開是正常 但怎麼離開 卻是好看運氣的事,0
352,即使飼主以最大的體貼善意生活品質出發,0
352,也未必知道醫療選擇的結果如何 有人說裝了後悔毛小孩受苦,0
352,有人說不裝後悔因為吃到滿嘴血都還是要吃,0
352,每次看都祈禱 到了要離開的時候能讓貓貓有個輕易的結尾,0
353,又頭痛了， 累累的， 平常就會這樣了，,0
353,不是確診。 好討厭喔， 頭痛很受不了但我不想再吃,0
354,想起你離世那一天的樣子. . . .,0
354,.  想像你離世前的路程， 你當時在想什麼呢？,0
354,對不起， 傷害了你， 該死的人是我。,0
354,你那麼怕孤單， 在那一個世界好嗎？ ,0
354,對不起， 請原諒我， 謝謝你， 我愛你。,0
354,我常常想起你， 我會接受懲罰和苦果，,0
355,不是如影隨行 而是不曾離去 那些惡夢,0
355,那些如獅子般張牙舞爪的惡夢 明天還要加班（暈,0
355,應該要吃半顆利福全 但用過漱口水 不想再喝水,0
355,停在這裡 一切惡夢中的惡夢 封鎖了一切,0
356,第1份工作做了8年因生病離職， 休養了3年後繼續第2份工作,0
356,第2份工作快屆滿2年的現在， 我還是發作了。,0
356,想到明天要上班， 還有上班要面對的人、,0
356,事、 物， 我就覺得活下去到底還有什麼意思?,0
356,偏偏我又很犯賤， 一打卡上班就把面具戴好，,0
356,但又能撐多久呢? 請假在家還是避免不了公事從裡傳出來騷擾我,0
356,但同事不欠我， 他們本來就沒有義務替我處理。,0
356,我每天都跟宇宙許願， 請讓我有勇氣領完年終就離職吧,0
356,然後我真的不想再當上班族了 上班根本就是拿命換錢.,0
356,. . 每天都是精神折磨 為了來這裡發文我還申請了一個新帳號.,0
356,. . 否則會被認出來。  反正發作了被別人知道也沒有用，,0
356,不是被笑就是被歧視。  只要我自己知道，,0
356,然後有這裡可以說說就好。  明天我還是會把面具戴好的，,0
357,所有的付出全化作烏有 四年多的感情比不上一個熟識沒一兩個月的人,0
357,我還能怎麼辦？  我應該怎麼辦？  任何的辯解之詞只會讓我的行為看起來更無比可笑,0
357,我付出了所有 一切 為了我們而設立目標努力著,0
357,每當我覺得疲憊的時候 你知道我都是想著你在拼命的嗎？,0
357,上班的時候也是 準備考試的時候也是 我一直懷抱著這樣的心情,0
357,走到現在 我現在已經沒有什麼動力向前邁進了,0
357,不該有的干擾思緒的情緒像山泉水一樣不斷湧出,0
357,就這樣傾倒吧 翻覆吧 泥淖吧 把所有的一切都破壞掉,0
358,真的是很奇怪 為什麼這些人都喜歡沒事一直傳一些不知道為什麼要傳的訊息,0
358,然後真的該溝通的事情不溝通 不懂耶 一直傳訊息講網路很慢,0
358,一直更新上傳百分之多少有什麼意義嗎 你也知道我沒有收到完整的檔案什麼事都不能做,0
358,那跟我講幹嘛? 光現在在手上的事就已經很多了,0
358,又沒催你 已經講說 傳完再跟我確認就好了,0
358,還一直傳網路速度/上傳進度 啊我是能幫你把網路變快嗎,0
358,還是能怎樣 還是要提供情緒支援 真的好慢喔,0
358,你要解釋為什麼延誤也是跟老闆報告 我又不是你上司,0
358,工作上的溝通要有意義有目的 不然就是在浪費別人的上班時間好嗎,0
358,真的好討厭這樣沒意義的佔用時間被打斷工作,0
359,外面下大雨有雷 心裡也在狂風暴雨打雷,0
359,一整天就在滑手機和看電視中度過了 明天要上班,0
359,明晚還要禁食 因為週一要做肝臟超音波,0
359,希望沒事 但又希望有事 最好是超有事比如癌末之類的,0
359,死一死好         5. 3.,0
360,於是， 暫時沒辦法去想， 所有的過去與未來，,0
360,都變得扁平了起來。 在這樣的多重夾殺之下,0
360,， 所有的掙扎都顯得無力。  有時候真恨自己的軟弱，,0
360,沒辦法變得更好的軟弱。 諮商師說我沒有軟弱，,0
360,我做的這許多事 都是證明， 只是世界上沒有最好。,0
360,不過還可以更好吧？ 也許有些人什麼都不必做就可以過得不錯了，,0
360,但我不行， 而可以做的 也只有更努力，,0
360,有時候像是走火入魔般的， 在兩個極端之間擺盪，,0
360,像是永遠都不夠好， 又 有種實在太累了的疲憊。,0
360,沒有辦法擺脫這樣深重的悲傷， 已經想不起來到底為什麼悲傷了，,0
360,也總是想不起來到底忘 記的那個重要的東西是什麼。,0
360,夢中的我最後在土中挖出自己慘白的屍體，,0
360,我抱著已死的自己崩潰大哭。 但那不是我在找,0
360,的， 那個很重要的東西， 每次試著想便會淚流不止的難過的，,0
361,大家日安 最近一陣子覺得自己狀態變得有點怪,0
361,所以問問看大家有沒有類似的經驗 前提,0
361,有穩定服藥且半年內無換藥 近期無重大事件發生,0
361,正文 以前因為無法入睡還需要吃助眠藥,0
361,到現在近三個月開始一沾床就睡死， 直接斷電那種，,0
361,醒來又十分疲憊很睏（但偶爾還是會 有零星幾天睡不著）,0
361,碰上上週突然情緒掉到谷底 回診的時候跟醫生說了,0
361,醫生加驗了甲狀腺和肝功能看起來也沒什麼異常,0
361,所以最後先加一點藥穩定情緒 想請問這樣從日日睡不著到大睡特睡,0
362,心情還行 算蠻好的？  回想回診的時候,0
362,偶爾會好奇醫生在螢幕打什麼 但其實沒問出口,0
362,不過可以感受到是被關心的 能夠期待回診,0
363,我幾個月前到了一個新的職場 一位資深的同事帶我熟悉環境，,0
363,當時在與他聊天中得知， 他幾年前因喪失親人，,0
363,到現在還在吃藥控制  幾個月相處下來，,0
363,發現他可以在工作的時候跟同事一直講話聊天，,0
363,可以兩三個小時ㄧ直講不停， 過程有說有笑，,0
363,他也很愛開玩笑又喜歡嘲諷別人， 喜歡把死跟離職掛嘴邊，,0
363,動不動就抱怨說想離職  也很常說他想出門的時後發生意外，,0
363,死一死他就 解脫了  講這些負面的話時，,0
363,他總是笑笑的講出來  我從來沒遇過話多到能講不停的人，,0
363,因為我是比較無法ㄧ心二用的人， 我邊講話邊工作會容易弄錯，,0
363,但我又怕我無法即時回應他， 他會覺得被冷落,0
363,請問我該如何處理， 大家有遇過類似的經驗嗎？,0
364,明天連假最後一天， 要做什麼讓自己開心的事情呢？,0
364,想不出來。 這幾天在家看書滑手機， ,0
364,午覺都有睡著， 如果能每天這樣就好了，,0
364,我的身體會變得比較正常。  看臉書生兩個的同學去上家教，,0
364,他老公還說：你去一趟百貨公司花的就不止這些錢了，,0
364,有這麼缺錢嗎？ 只是想出門吧最後還說我愛上班。,0
364,附上一張打扮很漂亮去上班的照片 。 要是也有人這樣對我說就好了，,0
