id,segment
0,現況就是跟家人待在一起會被罵：你為什麼一事無成都沒有朋友呢？
0,個性造就人生你個性 這麼差人生一定會失敗！
0,回說我有朋友還被罵：不要頂嘴， 都沒有朋友來家裡找你了，
0,還敢說有朋友！   逃離家中一個人租房，
0,結果出了什麼事通通都要自己想辦法。 
0,雖然我確實有朋友但通通遠水就不了近火不然就是根本找不到能幫忙的人.
0,. . 朋友只剩下 用來裝飾臉書的功能。
0,就連求神問卜得到的答案都是：蛇身意欲變成龍，
0,很想相信放寬心事情就會變好， 但是雖
0,了這麼多年越來越覺得神要給的意思就是：魯蛇就不要肖想變成龍了！
0,， 因為我根本沒去看醫生， 覺得在我還好好時現實
0,就已經是找不到人交流了， 看了醫生也不會忽然就多出幾個要幫助你的人.
0,. . . .  覺得我很憂鬱症的症狀：想死反正我也不懂為什麼我還活著、
0,做什麼都提不起勁、 憂鬱起 來被重壓在床上動彈不得、
0,大腦好像智商瞬間降低一樣永遠記不得下一個步驟，
0,不過我也 不曉得我到底有沒有生病， 因為我也不想去看醫生，
0,反正去看了現實也不會有所好轉， 如 果只是沒有可以幫忙依賴的人那好像還好了，
0,我想我跟他人的交流根本就跟住在租屋處的
0,狀態一樣：被困在一張床的空間裡只有我一個人
1,不知道有沒有人曾經這兩個也吃很重的呢？
1,曾經睡得很不好又常常焦慮憂鬱 （九個量表中八個.
1,. . ） 後來慢慢好而轉成慢性憂鬱
1,現在基本上一天拿六顆贊安諾和兩顆使蒂諾斯（當然還有其他的）
1,但隨著時間 贊安諾和使蒂諾斯已經愈來愈沒感覺了
1,甚至可以說是一點感覺都沒有 曾經亂吃一天吃了14顆贊安諾
1,或是一天吃八顆使蒂諾斯 卻完全沒有想睡的感覺（我知道
1,這樣很糟） 於是後來這兩顆我都不吃了
1,反正吃了也沒有用  但我真的很希望哪一天它們在我有需要到時候真的可以派上用場
1,請問大家退掉這種成癮藥物到底都多久呢？
2,什麼事都不想做 好麻煩 雖然以前也會沒來由的低落
2,但這次居然會哭到喘不過氣 全身發麻的感覺好可怕
2,？  啊 但是傷口被發現就完了 處理血也好麻煩
2,算了吧 試著找朋友求助 你幹嘛？ 有這麼誇張嗎？
2,你可以正面思考啊 啊還是別把負面讓朋友知道吧
2,找生命線聊聊 你真矛盾， 想想為什麼會這樣
2,如果我知道我還會打專線嗎 找學校老師諮商
2,嗯嗯（沉默） 啊造成老師困擾了， 很難回答吧
2,上網找了各種就醫的資訊 還是好懶的去
2,我不想變好了 不想吃藥、 懶的跟人解釋我為什麼變這樣
2,或者 變好了又能怎樣 還是要活著、 要上進、
2,要扮演好各種角色 最後什麼都沒有獲得
2,你們就放手讓我走吧 死了是好事呢 你們要替我高興啊
2,不用再活著、 沒有各種煩惱 我從來沒有任性要求過什麼
2,也總是負責任把事情做好 那 能不能讓我任性最後一次
3,最近都會因為一些生活遇到的事情而變得不開心，
3,然後腦中不斷的去想， 但卻又沒有結果
3,最近又在準備研究所的事， 真的快瘋了，
3,邊唸書腦袋又邊想其他事， 使讀書效率變得很
